id,question
1,На какой территории было создано Древнерусское государство?
2,Кто создал Древнерусское государство?
3,Какой город был столицей Древнерусского государства?
4,Когда Русь приняла христианство?
5,При каком князе произошло крещение Руси?
6,Что является религиозным символом христианства?
7,Какие известные православные храмы были построены в Древней Руси?
8,От какого государства зависела Русь в ХIII веке?
9,Кем был Александр Невский?
10,Когда была Куликовская битва?
11,Назовите победителя в Куликовской битве?
12,Назовите город который стал центром объединения русских земель?
13,Когда русские земли объединились вокруг Москвы?
14,В каком году Русь освободилась от ордынского ига (зависимости)?
15,Как в истории называли царя Ивана IV?
16,Кто в ХV веке написал знаменитую икону «Троица»?
17,"Какое название носит архитектурный памятник-крепость в Москве, который был построен как символ образования единого Московского государства?"
18,Когда в России был период Смуты?
19,"Когда Москва была освобождена народным ополчением во главе с Мининым и Пожарским, от польского войска?"
20,Какая династия правила в России с 1613 года?
21,Какой император проводил реформы в России в начале XVIII века?
22,"Какой город, стал столицей России в эпоху Петра I?"
23,Где в XVIII веке был создан первый в России университет?
24,По инициативе какого русского ученого был создан первый в России университет?
25,Когда и при каком правителе Крымский полуостров вошел в состав России?
26,Кто такой А.В. Суворов?
27,Какой памятник является символом города Санкт-Петербург?
28,Где находится самый крупный музей России — Эрмитаж?
29,В каком году была Отечественная война?
30,Какое сражение было самым крупным в Отечественной войне?
31,Какое государство победило в Отечественной войне?
32,Кто был главнокомандующим русской армией в годы отечественной войны?
33,Кто такие декабристы?
34,В каком году в России отменили крепостное право?
35,При каком российском императоре было отменено крепостное право?
36,В каком веке произошло присоединение Средней Азии к России?
37,Кто такой Пушкин Александр Сергеевич?
38,Кто во второй половине ХIХ века открыл периодический закон химических элементов?
39,Кто такой Толстой Лев Николаевич?
40,Кто такой Чайковский Петр Ильич?
41,Кто такой Достоевский Федор Михайлович?
42,Какие основные религии были в России в начале ХХ века?
43,Какую религию исповедовало большинство населения Российской империи?
44,Когда была Первая российская революция?
45,Что является главным результатом Первой российской революции?
46,Кто был лидером партии большевиков (РСДРП)?
47,Назовите годы когда шла Первая мировая война?
48,Кто такой Чехов Антон Павлович
49,Какой русский ученый изобрел радио?
50,"Какой театр находящийся в Москве, известнен во всем мире своими постановками оперы и балета?"
51,Как называется революция которая произошла в России в 1917 году?
52,Кто был последний российский император?
53,Какая партия захватила власть в России осенью 1917 года?
54,Какое государство было создано в 1922 году на территории бывшей Российской империи?
55,"При каком вожде в России церковь была отделена от государства, а школа – от церкви?"
56,Назовите название политики по созданию в СССР крупной промышленности?
57,Назовите название политики по созданию в СССР коллективных хозяйств в деревне?
58,Назовите важнейшее достижение СССР в области образования в первой половине ХХ века?
59,Назовите годы Великой Отечественной войны?
60,Назовите страны которые являлись союзниками СССР в борьбе против гитлеровской Германии?
61,Какая битва является самой важной (переломной) в Великой Отечественной войне?
62,Кем являются Жуков Георгий Константинович и Рокоссовский Константин Константинович?
63,Какая страна победила в Великой Отечественной войне?
64,Где советские солдаты М. Егоров и М. Кантария подняли знамя Победы в мае 1945 года?
65,Какое количество советских людей погибло в годы Великой Отечественной войны?
66,Назовите праздник который отмечают в России 9 мая?
67,Когда и по чьей инициативе Крым был передан из состава РСФСР в состав Украинской ССР?
68,Назовите Главного конструктора первых советских космических кораблей СССР?
69,Назовите имя первого в мире космонавта?
70,Когда Гагарин Юрий Алексеевич совершил первый в мире полет в космос?
71,Назовите имя первой в мире женщины-космонавта ?
72,Назовите важное международное спортивное событие которое состоялось в Москве в 1980 году?
73,Как назывались реформы Горбачева Михаила Сергеевича?
74,Назовите президента СССР?
75,Сколько советских республик было в составе СССР в 1960-1980-е годы?
76,В каком году произошел распад СССР?
77,Какое содружество было создано после распада СССР некоторыми бывшими советскими республиками?
78,Кто такой А.И. Солженицын?
79,Назовите дату принятия Декларации о государственном суверенитете России?
80,Назовите первого президента России?
81,Назовите реформы которые проводил в России Ельцин Борис Николаевич?
82,Назовите дату принятия Конституции РФ?
83,Каким государством является Российская Федерация по своему национальному составу?
84,Назовите язык который являетя государственным языком в России?
85,Назовите столицу России?
86,Назовите главную площадь столицы России?
87,Назовите годы когда президентами РФ были В.В. Путин и Д.А. Медведев?
88,Назовите президента России?
89,Назовите республику которая вошла в состав России в 2014 году?
90,Назовите Главу Русской Православной Церкви?
91,Назовите одну из главных организаций мусульман России?
92,Где в России проходили ХХII Зимние Олимпийские игры 2014 года?
93,Когда в России отмечают Новый год?
94,Назовите праздник который отмечают в России 7 января?
95,Назовите праздник который отмечают в России 23 февраля?
96,Назовите праздник который отмечают в России 8 марта?
97,Назовите праздник который отмечают в России 12 июня?
98,Назовите праздник который отмечают в России 4 ноября?
99,Назовите праздник который отмечается в России 12 декабря?
